
======================================================================================
RUN STARTED: Sun Dec 21 15:33:29 2025
======================================================================================
 time |   V   |  <k>  | Δ<k> |  L  | ΔL |    Φ    |    Ψ    |    Ω    | acc%
 3200 |  1503 |  8.91 | +0.04 |  17 |  +0 |  0.0147 |  0.7773 |  0.6685 | 46.91%
 3300 |  1549 |  8.95 | +0.04 |  17 |  +0 |  0.0145 |  0.7947 |  0.6828 | 46.88%
 3400 |  1602 |  8.99 | +0.04 |  17 |  +0 |  0.0136 |  0.7904 |  0.6755 | 47.06%
 3500 |  1661 |  9.04 | +0.05 |  17 |  +0 |  0.0127 |  0.7991 |  0.6818 | 47.40%
 3600 |  1715 |  9.09 | +0.05 |  17 |  +0 |  0.0126 |  0.8295 |  0.7186 | 47.58%
 3700 |  1763 |  9.11 | +0.02 |  17 |  +0 |  0.0126 |  0.8313 |  0.7190 | 47.59%
 3800 |  1815 |  9.15 | +0.03 |  17 |  +0 |  0.0124 |  0.8509 |  0.7365 | 47.71%
 3900 |  1864 |  9.17 | +0.02 |  17 |  +0 |  0.0120 |  0.8539 |  0.7337 | 47.74%
 4000 |  1920 |  9.20 | +0.03 |  17 |  +0 |  0.0113 |  0.8684 |  0.7459 | 47.95%
 4100 |  1968 |  9.21 | +0.02 |  17 |  +0 |  0.0109 |  0.8734 |  0.7495 | 47.95%
 4200 |  2027 |  9.25 | +0.03 |  17 |  +0 |  0.0103 |  0.8779 |  0.7540 | 48.21%
 4300 |  2077 |  9.27 | +0.02 |  17 |  +0 |  0.0104 |  0.8741 |  0.7510 | 48.26%
 4400 |  2127 |  9.29 | +0.02 |  17 |  +0 |  0.0100 |  0.8854 |  0.7593 | 48.30%
 4500 |  2180 |  9.32 | +0.04 |  17 |  +0 |  0.0102 |  0.8861 |  0.7604 | 48.40%

======================================================================================
RUN STARTED: Sun Dec 21 15:50:07 2025
======================================================================================
 time |   V   |  <k>  | Δ<k> |  L  | ΔL |    Φ    |    Ψ    |    Ω    | acc%
  100 |     2 |  1.00 | +0.00 |   2 |  +0 |  0.5000 |  0.0000 |  0.0000 | 0.00%
  200 |     2 |  1.00 | +0.00 |   2 |  +0 |  0.5000 |  0.0000 |  0.0000 | 0.00%
  300 |     2 |  1.00 | +0.00 |   2 |  +0 |  0.5000 |  0.0000 |  0.0000 | 0.00%
  400 |     2 |  1.00 | +0.00 |   2 |  +0 |  0.5000 |  0.0000 |  0.0000 | 0.00%
  500 |     2 |  1.00 | +0.00 |   2 |  +0 |  0.5000 |  0.0000 |  0.0000 | 0.00%
  600 |     2 |  1.00 | +0.00 |   2 |  +0 |  0.5000 |  0.0000 |  0.0000 | 0.00%
  700 |     2 |  1.00 | +0.00 |   2 |  +0 |  0.5000 |  0.0000 |  0.0000 | 0.00%
  800 |     2 |  1.00 | +0.00 |   2 |  +0 |  0.5000 |  0.0000 |  0.0000 | 0.00%
  900 |     2 |  1.00 | +0.00 |   2 |  +0 |  0.5000 |  0.0000 |  0.0000 | 0.00%
 1000 |     2 |  1.00 | +0.00 |   2 |  +0 |  0.5000 |  0.0000 |  0.0000 | 0.00%
 1100 |     2 |  1.00 | +0.00 |   2 |  +0 |  0.5000 |  0.0000 |  0.0000 | 0.00%
 1200 |     2 |  1.00 | +0.00 |   2 |  +0 |  0.5000 |  0.0000 |  0.0000 | 0.00%
 1300 |     2 |  1.00 | +0.00 |   2 |  +0 |  0.5000 |  0.0000 |  0.0000 | 0.00%
 1400 |     2 |  1.00 | +0.00 |   2 |  +0 |  0.5000 |  0.0000 |  0.0000 | 0.00%
 1500 |     2 |  1.00 | +0.00 |   2 |  +0 |  0.5000 |  0.0000 |  0.0000 | 0.00%
 1600 |     2 |  1.00 | +0.00 |   2 |  +0 |  0.5000 |  0.0000 |  0.0000 | 0.00%
 1700 |     2 |  1.00 | +0.00 |   2 |  +0 |  0.5000 |  0.0000 |  0.0000 | 0.00%
 1800 |     2 |  1.00 | +0.00 |   2 |  +0 |  0.5000 |  0.0000 |  0.0000 | 0.00%
 1900 |     2 |  1.00 | +0.00 |   2 |  +0 |  0.5000 |  0.0000 |  0.0000 | 0.00%
 2000 |     2 |  1.00 | +0.00 |   2 |  +0 |  0.5000 |  0.0000 |  0.0000 | 0.00%
 2100 |     2 |  1.00 | +0.00 |   2 |  +0 |  0.5000 |  0.0000 |  0.0000 | 0.00%
 2200 |     2 |  1.00 | +0.00 |   2 |  +0 |  0.5000 |  0.0000 |  0.0000 | 0.00%
 2300 |     2 |  1.00 | +0.00 |   2 |  +0 |  0.5000 |  0.0000 |  0.0000 | 0.00%
 2400 |     2 |  1.00 | +0.00 |   2 |  +0 |  0.5000 |  0.0000 |  0.0000 | 0.00%
 2500 |     2 |  1.00 | +0.00 |   2 |  +0 |  0.5000 |  0.0000 |  0.0000 | 0.00%
 2600 |     2 |  1.00 | +0.00 |   2 |  +0 |  0.5000 |  0.0000 |  0.0000 | 0.00%
 2700 |     2 |  1.00 | +0.00 |   2 |  +0 |  0.5000 |  0.0000 |  0.0000 | 0.00%
 2800 |     2 |  1.00 | +0.00 |   2 |  +0 |  0.5000 |  0.0000 |  0.0000 | 0.00%
 2900 |     2 |  1.00 | +0.00 |   2 |  +0 |  0.5000 |  0.0000 |  0.0000 | 0.00%
 3000 |     2 |  1.00 | +0.00 |   2 |  +0 |  0.5000 |  0.0000 |  0.0000 | 0.00%
 3100 |     2 |  1.00 | +0.00 |   2 |  +0 |  0.5000 |  0.0000 |  0.0000 | 0.00%
 3200 |     2 |  1.00 | +0.00 |   2 |  +0 |  0.5000 |  0.0000 |  0.0000 | 0.00%
 3300 |     2 |  1.00 | +0.00 |   2 |  +0 |  0.5000 |  0.0000 |  0.0000 | 0.00%
 3400 |     2 |  1.00 | +0.00 |   2 |  +0 |  0.5000 |  0.0000 |  0.0000 | 0.00%
 3500 |     2 |  1.00 | +0.00 |   2 |  +0 |  0.5000 |  0.0000 |  0.0000 | 0.00%
 3600 |     2 |  1.00 | +0.00 |   2 |  +0 |  0.5000 |  0.0000 |  0.0000 | 0.00%
 3700 |     2 |  1.00 | +0.00 |   2 |  +0 |  0.5000 |  0.0000 |  0.0000 | 0.00%
