
======================================================================================
RUN STARTED: Sun Dec 21 15:33:29 2025
======================================================================================
 time |   V   |  <k>  | Δ<k> |  L  | ΔL |    Φ    |    Ψ    |    Ω    | acc%
  900 |   296 |  6.52 | +0.16 |  12 |  +1 |  0.0449 |  0.6480 |  0.0000 | 32.67%
 1000 |   331 |  6.65 | +0.13 |  12 |  +0 |  0.0473 |  0.6682 |  0.2500 | 32.90%
 1100 |   376 |  6.75 | +0.10 |  12 |  +0 |  0.0424 |  0.7096 |  0.2500 | 34.00%
 1200 |   412 |  6.84 | +0.09 |  12 |  +0 |  0.0389 |  0.7764 |  0.3333 | 34.17%
 1300 |   464 |  6.97 | +0.13 |  13 |  +1 |  0.0349 |  0.8325 |  0.5714 | 35.54%
 1400 |   509 |  7.10 | +0.13 |  14 |  +1 |  0.0347 |  0.7236 |  0.2500 | 36.21%
 1500 |   560 |  7.23 | +0.13 |  14 |  +0 |  0.0316 |  0.7682 |  0.3333 | 37.20%
 1600 |   619 |  7.35 | +0.13 |  16 |  +2 |  0.0359 |  0.7653 |  0.2500 | 38.56%
 1700 |   664 |  7.43 | +0.07 |  16 |  +0 |  0.0315 |  0.7758 |  0.2500 | 38.94%
 1800 |   720 |  7.56 | +0.13 |  16 |  +0 |  0.0301 |  0.8905 |  0.2500 | 39.89%
 1900 |   786 |  7.62 | +0.06 |  16 |  +0 |  0.0311 |  0.9102 |  0.5714 | 41.26%
 2000 |   856 |  7.75 | +0.12 |  16 |  +0 |  0.0264 |  0.9472 |  0.5714 | 42.70%
 2100 |   917 |  7.80 | +0.05 |  16 |  +0 |  0.0238 |  0.9367 |  0.7678 | 43.57%
 2200 |   978 |  7.85 | +0.05 |  16 |  +0 |  0.0215 |  0.9327 |  0.7918 | 44.36%
 2300 |  1038 |  7.90 | +0.05 |  16 |  +0 |  0.0215 |  0.9514 |  0.8109 | 45.04%
 2400 |  1102 |  7.94 | +0.04 |  16 |  +0 |  0.0198 |  0.9363 |  0.8157 | 45.83%
 2500 |  1165 |  8.01 | +0.07 |  16 |  +0 |  0.0183 |  0.9863 |  0.8614 | 46.52%
 2600 |  1221 |  8.06 | +0.05 |  16 |  +0 |  0.0182 |  0.9916 |  0.8665 | 46.88%
 2700 |  1276 |  8.10 | +0.03 |  17 |  +1 |  0.0266 |  0.8623 |  0.7000 | 47.19%
 2800 |  1333 |  8.14 | +0.05 |  17 |  +0 |  0.0263 |  0.8950 |  0.7367 | 47.54%
 2900 |  1386 |  8.19 | +0.04 |  17 |  +0 |  0.0274 |  0.9049 |  0.7364 | 47.72%
 3000 |  1446 |  8.22 | +0.03 |  17 |  +0 |  0.0256 |  0.8977 |  0.7229 | 48.13%
 3100 |  1510 |  8.27 | +0.05 |  18 |  +1 |  0.0249 |  0.9349 |  0.7557 | 48.65%
 3200 |  1573 |  8.31 | +0.04 |  18 |  +0 |  0.0245 |  0.9088 |  0.7372 | 49.09%
 3300 |  1627 |  8.34 | +0.03 |  18 |  +0 |  0.0239 |  0.9138 |  0.7395 | 49.24%
 3400 |  1683 |  8.39 | +0.05 |  18 |  +0 |  0.0237 |  0.9269 |  0.7532 | 49.44%
 3500 |  1747 |  8.43 | +0.05 |  18 |  +0 |  0.0231 |  0.9407 |  0.7774 | 49.86%
 3600 |  1810 |  8.48 | +0.05 |  18 |  +0 |  0.0232 |  0.9695 |  0.8050 | 50.22%
 3700 |  1866 |  8.52 | +0.03 |  18 |  +0 |  0.0221 |  0.9559 |  0.7971 | 50.38%
 3800 |  1920 |  8.53 | +0.01 |  18 |  +0 |  0.0218 |  0.9620 |  0.8014 | 50.47%
 3900 |  1979 |  8.55 | +0.02 |  18 |  +0 |  0.0215 |  0.9689 |  0.8117 | 50.69%
 4000 |  2045 |  8.60 | +0.05 |  19 |  +1 |  0.0284 |  0.8582 |  0.8720 | 51.08%
 4100 |  2101 |  8.63 | +0.04 |  19 |  +0 |  0.0269 |  0.8728 |  0.8818 | 51.20%
 4200 |  2162 |  8.66 | +0.02 |  19 |  +0 |  0.0261 |  0.8678 |  0.8695 | 51.43%
 4300 |  2226 |  8.70 | +0.04 |  19 |  +0 |  0.0248 |  0.8649 |  0.8611 | 51.72%
 4400 |  2271 |  8.71 | +0.02 |  19 |  +0 |  0.0237 |  0.8673 |  0.8614 | 51.57%
 4500 |  2324 |  8.73 | +0.02 |  19 |  +0 |  0.0238 |  0.8679 |  0.8619 | 51.60%
 4600 |  2371 |  8.75 | +0.03 |  19 |  +0 |  0.0227 |  0.8774 |  0.8713 | 51.50%
 4700 |  2432 |  8.79 | +0.04 |  19 |  +0 |  0.0224 |  0.9009 |  0.9048 | 51.70%
 4800 |  2487 |  8.81 | +0.02 |  19 |  +0 |  0.0229 |  0.9021 |  0.9075 | 51.77%
 4900 |  2548 |  8.84 | +0.03 |  19 |  +0 |  0.0229 |  0.9308 |  0.9462 | 51.96%
 5000 |  2593 |  8.85 | +0.01 |  19 |  +0 |  0.0229 |  0.9228 |  0.9355 | 51.82%
 5100 |  2645 |  8.88 | +0.03 |  19 |  +0 |  0.0225 |  0.9319 |  0.9501 | 51.82%
 5200 |  2698 |  8.89 | +0.01 |  19 |  +0 |  0.0220 |  0.9291 |  0.9487 | 51.85%
 5300 |  2749 |  8.91 | +0.02 |  19 |  +0 |  0.0226 |  0.9307 |  0.9553 | 51.83%
 5400 |  2796 |  8.92 | +0.02 |  19 |  +0 |  0.0230 |  0.9295 |  0.9515 | 51.74%
 5500 |  2860 |  8.95 | +0.03 |  19 |  +0 |  0.0219 |  0.9318 |  0.9437 | 51.96%
 5600 |  2908 |  8.97 | +0.02 |  19 |  +0 |  0.0211 |  0.9578 |  0.9640 | 51.89%
 5700 |  2951 |  8.99 | +0.02 |  19 |  +0 |  0.0210 |  0.9580 |  0.9579 | 51.74%
 5800 |  2996 |  9.01 | +0.02 |  19 |  +0 |  0.0205 |  0.9636 |  0.9635 | 51.62%
 5900 |  3048 |  9.02 | +0.02 |  19 |  +0 |  0.0200 |  0.9672 |  0.9711 | 51.63%
 6000 |  3093 |  9.04 | +0.01 |  19 |  +0 |  0.0196 |  0.9662 |  0.9674 | 51.52%
 6100 |  3134 |  9.06 | +0.02 |  19 |  +0 |  0.0190 |  0.9811 |  0.9779 | 51.34%
 6200 |  3184 |  9.07 | +0.01 |  19 |  +0 |  0.0187 |  0.9720 |  0.9699 | 51.32%
 6300 |  3234 |  9.09 | +0.02 |  19 |  +0 |  0.0183 |  0.9759 |  0.9727 | 51.30%
 6400 |  3280 |  9.11 | +0.02 |  19 |  +0 |  0.0181 |  0.9775 |  0.9737 | 51.22%
 6500 |  3326 |  9.12 | +0.01 |  19 |  +0 |  0.0181 |  0.9858 |  0.9828 | 51.14%
 6600 |  3374 |  9.14 | +0.02 |  19 |  +0 |  0.0180 |  0.9816 |  0.9786 | 51.09%
 6700 |  3418 |  9.14 | +0.01 |  19 |  +0 |  0.0178 |  0.9902 |  0.9816 | 50.99%
 6800 |  3467 |  9.16 | +0.01 |  19 |  +0 |  0.0185 |  0.9956 |  0.9865 | 50.96%
 6900 |  3512 |  9.17 | +0.02 |  19 |  +0 |  0.0188 |  1.0007 |  0.9930 | 50.87%
 7000 |  3566 |  9.19 | +0.01 |  19 |  +0 |  0.0184 |  1.0021 |  0.9949 | 50.91%
 7100 |  3605 |  9.19 | +0.01 |  19 |  +0 |  0.0181 |  1.0035 |  0.9958 | 50.75%
 7200 |  3655 |  9.22 | +0.02 |  19 |  +0 |  0.0175 |  1.0302 |  1.0162 | 50.74%
 7300 |  3694 |  9.24 | +0.02 |  19 |  +0 |  0.0172 |  1.0416 |  1.0305 | 50.58%
 7400 |  3732 |  9.26 | +0.01 |  19 |  +0 |  0.0169 |  1.0541 |  1.0451 | 50.41%
 7500 |  3773 |  9.28 | +0.02 |  19 |  +0 |  0.0168 |  1.0540 |  1.0441 | 50.28%
 7600 |  3810 |  9.28 | +0.01 |  19 |  +0 |  0.0171 |  1.0587 |  1.0515 | 50.11%
 7700 |  3851 |  9.29 | +0.01 |  19 |  +0 |  0.0169 |  1.0548 |  1.0486 | 49.99%
 7800 |  3892 |  9.30 | +0.01 |  19 |  +0 |  0.0169 |  1.0546 |  1.0457 | 49.87%
 7900 |  3940 |  9.32 | +0.02 |  19 |  +0 |  0.0169 |  1.0675 |  1.0616 | 49.85%
 8000 |  3979 |  9.32 | +0.01 |  19 |  +0 |  0.0167 |  1.0592 |  1.0541 | 49.71%
 8100 |  4015 |  9.33 | +0.01 |  19 |  +0 |  0.0167 |  1.0644 |  1.0600 | 49.54%
 8200 |  4056 |  9.34 | +0.01 |  19 |  +0 |  0.0167 |  1.0733 |  1.0682 | 49.44%
 8300 |  4093 |  9.34 | +0.01 |  19 |  +0 |  0.0165 |  1.0719 |  1.0667 | 49.29%
 8400 |  4137 |  9.35 | +0.01 |  19 |  +0 |  0.0166 |  1.0695 |  1.0653 | 49.23%
 8500 |  4183 |  9.36 | +0.01 |  19 |  +0 |  0.0166 |  1.0689 |  1.0669 | 49.19%
 8600 |  4207 |  9.37 | +0.01 |  19 |  +0 |  0.0164 |  1.0714 |  1.0700 | 48.90%
 8700 |  4244 |  9.38 | +0.01 |  19 |  +0 |  0.0162 |  1.0682 |  1.0665 | 48.76%
 8800 |  4280 |  9.39 | +0.01 |  19 |  +0 |  0.0162 |  1.0729 |  1.0748 | 48.61%
 8900 |  4317 |  9.39 | +0.00 |  19 |  +0 |  0.0159 |  1.0764 |  1.0768 | 48.48%
 9000 |  4348 |  9.41 | +0.01 |  19 |  +0 |  0.0157 |  1.0792 |  1.0767 | 48.29%
 9100 |  4384 |  9.41 | +0.01 |  19 |  +0 |  0.0155 |  1.0767 |  1.0717 | 48.15%
 9200 |  4420 |  9.42 | +0.01 |  19 |  +0 |  0.0154 |  1.0721 |  1.0651 | 48.02%
 9300 |  4462 |  9.42 | +0.00 |  19 |  +0 |  0.0152 |  1.0707 |  1.0643 | 47.96%
 9400 |  4487 |  9.43 | +0.01 |  19 |  +0 |  0.0154 |  1.0731 |  1.0668 | 47.71%
 9500 |  4521 |  9.44 | +0.01 |  19 |  +0 |  0.0153 |  1.0695 |  1.0615 | 47.57%
 9600 |  4555 |  9.44 | +0.01 |  19 |  +0 |  0.0153 |  1.0728 |  1.0631 | 47.43%
 9700 |  4590 |  9.45 | +0.01 |  19 |  +0 |  0.0152 |  1.0726 |  1.0625 | 47.30%
 9800 |  4623 |  9.45 | +0.00 |  19 |  +0 |  0.0150 |  1.0759 |  1.0657 | 47.15%
 9900 |  4664 |  9.46 | +0.00 |  19 |  +0 |  0.0151 |  1.0778 |  1.0688 | 47.09%
10000 |  4705 |  9.46 | -0.00 |  19 |  +0 |  0.0149 |  1.0752 |  1.0649 | 47.03%
10100 |  4740 |  9.46 | +0.01 |  19 |  +0 |  0.0148 |  1.0718 |  1.0601 | 46.91%
10200 |  4781 |  9.48 | +0.01 |  19 |  +0 |  0.0147 |  1.0726 |  1.0600 | 46.85%
10300 |  4811 |  9.48 | +0.01 |  19 |  +0 |  0.0147 |  1.0769 |  1.0634 | 46.69%
10400 |  4856 |  9.49 | +0.01 |  19 |  +0 |  0.0147 |  1.0788 |  1.0664 | 46.67%
10500 |  4896 |  9.50 | +0.01 |  19 |  +0 |  0.0147 |  1.0760 |  1.0629 | 46.61%
